Borrower Name,Current Approval Amount,Number of Loans,State,NAICS Title,borrower_id
LEGACY TREATMENT SERVICES,10000000,1,NJ,Outpatient Mental Health and Substance Abuse Centers,497296
"LEGAL SEA FOODS, LLC",10000000,1,MA,Full-Service Restaurants,351232
LEGEND SENIOR LIVING LLC,10000000,1,KS,Assisted Living Facilities for the Elderly,322884
"LEGILITY, LLC",10000000,1,TN,All Other Legal Services,699938
LEMEK LLC,10000000,1,MD,Limited-Service Restaurants,376150
"LEWIS ENERGY GROUP, LP",10000000,1,TX,Natural Gas Extraction,714533
LIFETIME ASSISTANCE INC.,10000000,1,NY,Residential Intellectual and Developmental Disability Facilities,536241
"LIGHTHOUSE ELECTRIC CO., INC",10000000,1,PA,Electrical Contractors and Other Wiring Installation Contractors,648268
LINK STAFFING SERVICES CORPORATION,10000000,1,TX,Temporary Help Services,714526
LONGEVITY HEALTH SERVICES LLC,10000000,1,NY,Home Health Care Services,536227
LOS ANGELES PHILHARMONIC ASSOCIATION,10000000,1,CA,Musical Groups and Artists,32333
"LSB INDUSTRIES, INC",10000000,1,OK,Nitrogenous Fertilizer Manufacturing,627881
"LUBRICATION TECHNOLOGIES, INC.",10000000,1,MN,Petroleum Lubricating Oil and Grease Manufacturing,422918
"LUBY'S, INC.",10000000,1,TX,Limited-Service Restaurants,714540
LUDVIK ELECTRIC CO.,10000000,1,CO,Electrical Contractors and Other Wiring Installation Contractors,145822
"LUPE HOLDINGS, LP",10000000,1,TX,Full-Service Restaurants,714580
"LUTHERAN SERVICES FLORIDA, INC",10000000,1,FL,Religious Organizations,181301
M CROWD RESTAURANT GROUP INC,10000000,1,TX,Full-Service Restaurants,714531
MAC ACQUISITION LLC,10000000,1,CO,Full-Service Restaurants,145819
"MAGNUM DRYWALL, INC",10000000,1,CA,Construction Sand and Gravel Mining,32307
MALLIK A DURBAR,10000000,1,NY,Home Health Care Services,536190
"MANA PRODUCTS, INC.",10000000,1,NY,Toilet Preparation Manufacturing,536195
"MAPLES INDUSTRIES, INC.",10000000,1,AL,Carpet and Rug Mills,2395
MARCH OF DIMES INC.,10000000,1,VA,Voluntary Health Organizations,791618
"MARLABS, INC.",10000000,1,NJ,Custom Computer Programming Services,497295
"MARQUIS CONSTRUCTION SERVICES, LLC",10000000,1,TX,All Other Specialty Trade Contractors,714558
"MAYNARD COOPER & GALE, PC.",10000000,1,AL,Offices of Lawyers,2392
"MAZZELLA HOLDING COMPANY, INC.",10000000,1,OH,All Other Miscellaneous Fabricated Metal Product Manufacturing,599991
"MCC GROUP HOLDINGS, INC.",10000000,1,AR,"Plumbing, Heating, and Air-Conditioning Contractors",12599
MCDONALD ELECTRICAL CORPERATION,10000000,1,MA,Electrical Contractors and Other Wiring Installation Contractors,351219
"MCDONOGH SCHOOL, INCORPORATED",11500000,2,MD,Elementary and Secondary Schools,376189
"MCMENAMINS, INC.",10000000,1,OR,Full-Service Restaurants,637104
MCMILLAN ELECTRIC,10000000,1,CA,Electrical Contractors and Other Wiring Installation Contractors,32281
"MEDIAMATH, INC.",10000000,1,NY,"All Other Professional, Scientific, and Technical Services",536238
"METALTEK INTERNATIONAL, INC",10000000,1,WI,Steel Investment Foundries,834442
METZ CULINARY MANAGEMENT INC,10000000,1,PA,Food Service Contractors,648275
"MIDWEST STEEL, INC",10000000,1,MI,Commercial and Institutional Building Construction,396553
MINIAT HOLDINGS LLC,10000000,1,IL,Meat Processed from Carcasses,271815
MINUTE MEN  INC,10000000,1,OH,Temporary Help Services,600001
"MISSION BBQ MANAGEMENT, LLC",10000000,1,MD,Full-Service Restaurants,376149
MITCHELL/MARTIN INC.,10000000,1,NY,Employment Placement Agencies,536226
MITRA QSR KNE LLC,10000000,1,TX,Limited-Service Restaurants,714546
"MITTERA GROUP, INC.",10000000,1,IA,Commercial Printing (except Screen and Books),260459
"M-L HOLDINGS CRANE GROUP, LLC",17539800,2,MD,All Other Specialty Trade Contractors,376158
"MOD SUPER FAST PIZZA, LLC",10000000,1,WA,Limited-Service Restaurants,815159
MONARCH,10000000,1,NC,Outpatient Mental Health and Substance Abuse Centers,464109
MONTCO INC,10000000,1,NJ,Employment Placement Agencies,497298
MOSAIC,10000000,1,NE,Services for the Elderly and Persons with Disabilities,487562
MOUNTAIN PARK HEALTH CENTER,10000000,1,AZ,Offices of Physicians (except Mental Health Specialists),17877
"MUY HAMBURGER PARTNERS, LLC",10000000,1,TX,Limited-Service Restaurants,714579
"MUY PIZZA TEJAS, LLC",10000000,1,TX,Limited-Service Restaurants,714583
"MVP WORKFORCE, LLC",10000000,1,IL,Employment Placement Agencies,271806
"NAE EDISON, LLC",10000000,1,NY,Home Health Care Services,536203
NAPHCARE US INC,10000000,1,AL,Offices of All Other Miscellaneous Health Practitioners,2390
"NATIONAL DCP, LLC",10000000,1,GA,Baked Goods Retailers,232764
NAVAJO TRIBAL UTILITY AUTHORITY,10000000,1,AZ,Electric Power Distribution,17873
"NCGCARE, INC.",10000000,1,VA,Offices of Mental Health Practitioners (except Physicians),791619
"NELSON GLOBAL PRODUCTS, INC.",10000000,1,WI,Heavy Duty Truck Manufacturing,834437
"NELSON WORLDWIDE, LLC",10000000,1,PA,Architectural Services,648270
NEVADA RESTAURANT SERVICES,10000000,1,NV,Drinking Places (Alcoholic Beverages),528986
NEW ENGLAND AUTHENTIC EATS LLC,10000000,1,MA,Full-Service Restaurants,351215
NEW YORK HEALTH CARE INC.,10000000,1,NY,Home Health Care Services,536199
NEW YORK HOTEL TRADES COUNCIL AND HOTEL ASSOCIATION OF NY HE,10000000,1,NY,Health and Welfare Funds,536201
NEXT STEP HEALTHCARE LLC,10000000,1,MA,Nursing Care Facilities (Skilled Nursing Facilities),351227
NEXTRAN CORPORATION,10000000,1,FL,Automobile and Other Motor Vehicle Merchant Wholesalers,181310
"NORMS RESTAURANTS, LLC",10000000,1,CA,Full-Service Restaurants,32334
NORTH EAST MEDICAL SERVICES,10000000,1,CA,All Other Outpatient Care Centers,32261
"NORTHEAST SECURITY, INC",10000000,1,MA,Security Guards and Patrol Services,351221
NORTHWEST RESTAURANTS INC,10000000,1,WA,Limited-Service Restaurants,815157
OASIS WEST REALTY LLC,10000000,1,CA,Hotels (except Casino Hotels) and Motels,32275
OCEAN PARK MECHANICAL INC,10000000,1,WA,Electrical Contractors and Other Wiring Installation Contractors,815163
O'CHARLEY'S HOLDINGS LLC,10000000,1,TN,Full-Service Restaurants,699940
OMNITRAX HOLDINGS COMBINED INC,10000000,1,CO,Short Line Railroads,145817
"ON Q FINANCIAL, INC.",10000000,1,AZ,Other Activities Related to Credit Intermediation,17884
"ON TARGET STAFFING, LLC",10000000,1,NJ,Temporary Help Services,497284
ONE10 LLC,10000000,1,MN,Office Administrative Services,422917
"ONESTAFF MEDICAL, LLC",10000000,1,NE,Offices of All Other Miscellaneous Health Practitioners,487561
OPEN SKY COMMUNITY SERVICES,10000000,1,MA,Residential Mental Health and Substance Abuse Facilities,351224
ORTHOVIRGINIA INC,10000000,1,VA,Offices of Physicians (except Mental Health Specialists),791611
"OSS ORTHOPAEDIC HOSPITAL, LLC",10000000,1,PA,"Offices of Physicians, Mental Health Specialists",648272
OTB ACQUISITION LLC,10000000,1,TX,Full-Service Restaurants,714564
"OVATION TRAVEL GROUP, INC.",10000000,1,NY,Travel Agencies,536191
P A L ENVIRONMENTAL SAFETY CORP,10000000,1,NY,Commercial and Institutional Building Construction,536183
"P.F. CHANG'S CHINA BISTRO, INC.",10000000,1,AZ,Full-Service Restaurants,17881
PACIFIC CLINICS,10000000,1,CA,Outpatient Mental Health and Substance Abuse Centers,32262
PACIFIC FARM MANAGEMENT INC,10000000,1,CA,Other Management Consulting Services,32322
"PACIFIC SOUTHWEST CONTAINER, LLC",10000000,1,CA,Corrugated and Solid Fiber Box Manufacturing,32293
PACIFICA HOTEL COMPANY,10904000,2,CA,Hotels (except Casino Hotels) and Motels,32368
PAPPAS RESTAURANTS INC,10000000,1,TX,Full-Service Restaurants,714560
PARFAB FIELD SERVICES LLC,10000000,1,OK,Oil and Gas Pipeline and Related Structures Construction,627880
"PATRIOT CONTRACT SERVICES, LLC",10000000,1,CA,Deep Sea Freight Transportation,32272
"PBM, LLC",10000000,1,NY,Janitorial Services,536250
"PDG, PA",10000000,1,MN,Offices of Dentists,422925
"PEI WEI ASIAN DINER, LLC",10000000,1,TX,Full-Service Restaurants,714555
"PEOPLE CARE, INC.",10000000,1,NY,Home Health Care Services,536204
PEOPLE INC,10000000,1,NY,Residential Intellectual and Developmental Disability Facilities,536230
PERCHERON HOLDINGS LLC,10000000,1,TX,Other Activities Related to Real Estate,714525
"PERRY&#39;S RESTAURANTS, LTD.",10000000,1,TX,Full-Service Restaurants,714562
"PERSONNEL STAFFING GROUP, LLC",10000000,1,IL,Temporary Help Services,271821
"PF GROWTH PARTNERS, LLC",10317000,2,MD,Fitness and Recreational Sports Centers,376211
"PHYSICIANS NETWORK MEDICAL GROUP, INC.",10000000,1,CA,Offices of Physicians (except Mental Health Specialists),32264
PLANNED PARENTHOOD OF GREATER NEW YORK INC.,10000000,1,NY,Direct Health and Medical Insurance Carriers,536198
PLATINUM HOME HEALTH CARE INC.,10000000,1,NY,Home Health Care Services,536251
"PLS GROUP, INC.",10000000,1,IL,Other Activities Related to Credit Intermediation,271807
PORT LOGISTICS GROUP INC,10000000,1,CA,General Warehousing and Storage,32289
"POTBELLY SANDWICH WORKS, LLC",10000000,1,IL,Limited-Service Restaurants,271818
"POTOMAC FAMILY DINING GROUP OPERATING COMPANY, LLC",10000000,1,VA,Full-Service Restaurants,791616
PR RESTAURANTS L.L.C.,10000000,1,MA,Hotels (except Casino Hotels) and Motels,351225
"PRAGER METIS CPAS, LLC",10000000,1,NY,Offices of Certified Public Accountants,536194
PREFERRED FAMILY HEALTHCARE INCORPORATED,10000000,1,MO,Outpatient Mental Health and Substance Abuse Centers,441356
"PREMIUM INSPECTION & TESTING, INC.",10000000,1,LA,Support Activities for Oil and Gas Operations,338829
PRESTON PIPELINES INC.,10000000,1,CA,Water and Sewer Line and Related Structures Construction,32329
"PRIDE CAPITAL PARTNERS, LLC",10000000,1,NY,Computer Systems Design Services,536220
"PRIDGEON & CLAY, INC.",10000000,1,MI,Motor Vehicle Metal Stamping,396545
"PRIME TIME HEALTH CARE, LLC",10000000,1,NE,Employment Placement Agencies,487560
"PRIMECARE MEDICAL, INC.",10000000,1,PA,Other Residential Care Facilities,648264
PRODUCERS DAIRY FOODS INC.,10000000,1,CA,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",32274
PROENERGY ACQUISITION COMPANY,10000000,1,MO,Turbine and Turbine Generator Set Units Manufacturing,441354
"PROLINK STAFFING SERVICES, LLC",10000000,1,OH,Temporary Help Services,599996
PROPARK INC,10000000,1,CT,Parking Lots and Garages,163468
"PROTRANS HOLDINGS, INC.",10000000,1,IN,"Corporate, Subsidiary, and Regional Managing Offices",307908
"PT NETWORK, LLC",20000000,2,MD,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",376146
PUBLIC HEALTH MANAGEMENT CORPORATION,10000000,1,PA,Administration of Public Health Programs,648277
PUFFER-SWEIVEN LP,10000000,1,TX,Fluid Power Valve and Hose Fitting Manufacturing,714563
Q&D CONSTRUCTION LLC,10000000,1,NV,Commercial and Institutional Building Construction,528987
"QSC, LLC",10000000,1,CA,Audio and Video Equipment Manufacturing,32324
QUALITY INTEGRATED SERVICES INC.,10000000,1,OK,"All Other Professional, Scientific, and Technical Services",627883
"QUALITY RESTAURANT CONCEPTS, LLC",10000000,1,AL,Limited-Service Restaurants,2393
QUALITY TEMPORARY SERVICES INC.,10000000,1,MI,Temporary Help Services,396551
QUANTUM CORPORATION,10000000,1,CA,Computer Storage Device Manufacturing,32315
"RAEL AUTOMATIC SPRINKLER CO., INC.",10000000,1,NY,"Plumbing, Heating, and Air-Conditioning Contractors",536270
RED LOBSTER RESTAURANTS LLC,10000000,1,FL,Full-Service Restaurants,181304
REINAUER TRANSPORTATION COMPANIES LLC,10000000,1,NY,Marine Cargo Handling,536187
"RENEGADE HOLDING COMPANY, LLC",10000000,1,TX,Oil and Gas Pipeline and Related Structures Construction,714530
RETAIL SERVICES WIS CORPORATION,10000000,1,CA,All Other Business Support Services,32313
RISING GROUND,10000000,1,NY,Child and Youth Services,536242
RMH FRANCHISE CORPORATION,10000000,1,GA,Miscellaneous Intermediation,232762
"ROBERT A. BOTHMAN, INC.",10000000,1,CA,Commercial and Institutional Building Construction,32298
ROBINS KAPLAN LLP,10000000,1,MN,Offices of Lawyers,422923
ROGER & SONS CONCRETE INC.,10000000,1,NY,Poured Concrete Foundation and Structure Contractors,536261
"ROSA'S CAF & TORTILLA FACTORY, LTD.",10000000,1,TX,Full-Service Restaurants,714528
ROSE CASUAL DINING LP,10000000,1,PA,Full-Service Restaurants,648267
"RUBIO'S RESTAURANTS, INC.",10000000,1,CA,Limited-Service Restaurants,32336
RUBY'S LLC,10000000,1,TN,Full-Service Restaurants,699942
"S & S CONCRETE & MASONRY, LLP",10000000,1,MN,Masonry Contractors,422927
"SAGORA SENIOR LIVING, INC",10000000,1,TX,Lessors of Residential Buildings and Dwellings,714561
"SAINT FRANCIS MINISTRIES, INC.",10000000,1,KS,Other Individual and Family Services,322883
"SALO, LLC",10000000,1,MN,Human Resources Consulting Services,422933
SAMUEL CORALUZZO CO INC,10000000,1,NJ,"Specialized Freight (except Used Goods) Trucking, Local",497288
SARGENT ELECTRIC COMPANY,10000000,1,PA,Electrical Contractors and Other Wiring Installation Contractors,648263
"SC&H GROUP, INC.",10793854,2,MD,Offices of Certified Public Accountants,376198
"SCHUSTER ENTERPRISES, INC.",10000000,1,GA,Limited-Service Restaurants,232758
SCHWEBEL BAKING COMPANY,10000000,1,OH,Commercial Bakeries,600009
SCO FAMILY OF SERVICES,10000000,1,NY,Child and Youth Services,536252
"SCOUT ENERGY MANAGEMENT, LLC",10000000,1,TX,Support Activities for Oil and Gas Operations,714556
SCREEN ACTORS GUILD-AMERICAN FEDERATION OF TELEVISION AND RA,10000000,1,CA,Labor Unions and Similar Labor Organizations,32321
SEATTLE GOODWILL INDUSTRIES,10000000,1,WA,Vocational Rehabilitation Services,815161
SERVICE MANAGEMENT GROUP,10000000,1,CT,Janitorial Services,163470
"SERVICE SYSTEMS ASSOCIATES, INC.",10000000,1,CO,Food Service Contractors,145814
SERVICES FOR THE UNDERSERVED INC.,10000000,1,NY,Services for the Elderly and Persons with Disabilities,536255
SEVEN HILLS FOUNDATION INC.,10000000,1,MA,Residential Intellectual and Developmental Disability Facilities,351220
"SFE HOLDINGS, LLC",10000000,1,AZ,Food Service Contractors,17872
SHARI'S MANAGEMENT CORPORATION,10000000,1,OR,Full-Service Restaurants,637105
"SIERRA NEVADA BREWING, INC.",10000000,1,CA,Food Product Machinery Manufacturing,32325
"SILVERADO SENIOR LIVING HOLDINGS, INC.",10000000,1,CA,Nursing Care Facilities (Skilled Nursing Facilities),32280
"SIMPLIFIED LABOR STAFFING SOLUTIONS, INC",10000000,1,CA,Employment Placement Agencies,32308
"SIZZLING CAESARS, LLC",10000000,1,UT,Limited-Service Restaurants,783337
SMG EXTOL LLC,10000000,1,CA,Electrical Contractors and Other Wiring Installation Contractors,32285
"SMITH TEMPORARIES, INC.",10000000,1,TX,Temporary Help Services,714584
SNOOZE IMPORT EXPORT LLC,10000000,1,CO,Full-Service Restaurants,145820
SOUTHERN MINNESOTA BEET SUGAR COOPERATIVE,10000000,1,MN,Beet Sugar Manufacturing,422938
"SPECIAL SERVICE FOR GROUPS, INC.",10000000,1,CA,Outpatient Mental Health and Substance Abuse Centers,32278
SPECIALTY STEEL WORKS INCORPORATED,10000000,1,IN,Rolled Steel Shape Manufacturing,307903
"SPECTRAFORCE TECHNOLOGIES, INC",10000000,1,NC,Employment Placement Agencies,464108
SPRINGFIELD TERMINAL RAILWAY COMPANY,10000000,1,MA,Line-Haul Railroads,351218
"STAFF ELECTRIC CO., INC.",10000000,1,WI,Electrical Contractors and Other Wiring Installation Contractors,834435
STAFF MANAGEMENT GROUP,10000000,1,NJ,Employment Placement Agencies,497292
STAFF PRO LLC,10000000,1,MS,Employment Placement Agencies,456036
"STAFFING INNOVATIONS, LLC",10000000,1,TX,Poured Concrete Foundation and Structure Contractors,714543
STRUCTURETECH NEW YORK INC.,10000000,1,NY,Poured Concrete Foundation and Structure Contractors,536197
"STUDIO MOVIE GRILL HOLDINGS, LLC",10000000,1,TX,Motion Picture Theaters (except Drive-Ins),714574
SUMMIT SECURITY SERVICES INC.,10000000,1,NY,Investigation and Personal Background Check Services,536244
SUNFLOWER ELECTRIC POWER CORPORATION,10000000,1,KS,Fossil Fuel Electric Power Generation,322885
"SUNRISE RESTAURANTS, LLC",10000000,1,CA,Full-Service Restaurants,32294
"SUPERIOR BOWEN ASPHALT CO., LLC",10000000,1,MO,Asphalt Paving Mixture and Block Manufacturing,441353
SWANSON GROUP INC,10000000,1,OR,Sawmills,637102
SWEENEY DRYWALL FINISHES CORP.,10000000,1,MA,Drywall and Insulation Contractors,351226
SWH MIMIS CAFE LLC,10000000,1,TX,Full-Service Restaurants,714577
TEDS MONTANA GRILL INC,10000000,1,GA,Full-Service Restaurants,232765
"TESCO HOLDINGS, LLC",10000000,1,TX,Industrial Building Construction,714552
"TGI FRIDAY'S, INC.",10000000,1,TX,Full-Service Restaurants,714576
"THE BAMA COMPANIES, INC.",10000000,1,OK,Frozen Specialty Food Manufacturing,627884
THE BUDD GROUP,10000000,1,NC,Janitorial Services,464113
THE CENTER FOR DISCOVERY INC.,10000000,1,NY,Residential Intellectual and Developmental Disability Facilities,536181
THE DEVEREUX FOUNDATION,10000000,1,PA,Residential Intellectual and Developmental Disability Facilities,648265
"THE DORAL INVESTORS GROUP, LLC",10000000,1,NY,Home Health Care Services,536216
THE INDIUM CORPORATION OF AMERICA,10000000,1,NY,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",536211
THE JEWISH BOARD OF FAMILY AND CHILDREN,10000000,1,NY,Other Individual and Family Services,536263
THE JOB CENTER LLC,10000000,1,OH,Temporary Help Services,600004
"THE KLEINFELDER GROUP, INC.",10000000,1,CA,Engineering Services,32323
THE LONGSTREET CLINIC PC,10000000,1,GA,Offices of Physicians (except Mental Health Specialists),232760
"THE MEDICAL TEAM, INC.",10000000,1,VA,Home Health Care Services,791613
THE NEW YORK FOUNDLING,10000000,1,NY,Offices of Mental Health Practitioners (except Physicians),536231
THE NEW YORK RACING ASSOCIATION INC,10000000,1,NY,Racetracks,536210
THE RDI CORPORATION,10000000,1,OH,Telemarketing Bureaus and Other Contact Centers,600002
THE RESERVES NETWORK INC,10000000,1,OH,Temporary Help Services,599997
THE ROYAL CARE INC,10000000,1,NY,Home Health Care Services,536222
THE THRESHOLDS,10000000,1,IL,Outpatient Mental Health and Substance Abuse Centers,271824
THE WESTERN SUGAR COOPERATIVE,10000000,1,CO,Beet Sugar Manufacturing,145816
THOMAS MANAGEMENT LLC,10000000,1,ID,Food Service Contractors,268147
THOMPSON & KNIGHT LLP,10000000,1,TX,Offices of Lawyers,714557
"TIJUANA FLATS RESTAURANTS, LLC",10000000,1,FL,Limited-Service Restaurants,181306
TIMBER PRODUCTS COMPANY LP,10000000,1,OR,Softwood Veneer and Plywood Manufacturing,637103
"TIMBERWORKS CONSTRUCTION, INC.",10000000,1,CA,Framing Contractors,32290
"TNTX, LLC",10000000,1,TX,Used Car Dealers,714586
TOTAL ADMINISTRATIVE SERVICES CORPORATION,10000000,1,WI,Pharmacy Benefit Management and Other Third Party Administration of Insurance and Pension Funds,834439
TOTALMED INC.,10000000,1,WI,Temporary Help Services,834431
TRADEBE CAPITAL CORPORATION,10000000,1,IN,Hazardous Waste Treatment and Disposal,307912
"TRI CITY, INC.",10000000,1,TX,Limited-Service Restaurants,714565
"TRUCK CENTERS, INC.",10000000,1,IL,"General Freight Trucking, Long-Distance, Truckload",271813
"TRUE LEAF HOLDINGS, LLC",10000000,1,CA,"All Other Professional, Scientific, and Technical Services",32327
"TRUEBECK CONSTRUCTION, INC.",10000000,1,CA,Industrial Building Construction,32312
"TRUECORE BEHAVIORAL SOLUTIONS, LLC",10000000,1,FL,Vocational Rehabilitation Services,181305
TSFR APPLE VENTURE LLC,10000000,1,MI,Full-Service Restaurants,396543
"TW RESTAURANT HOLDER, LLC",10000000,1,GA,Full-Service Restaurants,232759
UNICAL AVIATION INC.,10000000,1,CA,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,32286
UNION OF ORTHODOX JEWISH CONGREGATIONS OF AMERICA,10000000,1,NY,Food Service Contractors,536234
"UNITED CONTRACTORS MIDWEST, INC.",10000000,1,IL,"Highway, Street, and Bridge Construction",271826
UNITED MECHANICAL INC.,10000000,1,CA,"Plumbing, Heating, and Air-Conditioning Contractors",32306
"UNITED MEDICAL ASSOCIATES, P.C.",10000000,1,NY,Offices of Physicians (except Mental Health Specialists),536257
"UNO RESTAURANTS, LLC",10000000,1,MA,Full-Service Restaurants,351234
"UP PROFESSIONAL SOLUTIONS, LLC",10000000,1,LA,Employment Placement Agencies,338822
URBAN HEALTH PLAN INC,10000000,1,NY,All Other Miscellaneous Ambulatory Health Care Services,536267
US TRINITY ENERGY LABOR SERVICES LLC,10000000,1,TX,Oil and Gas Pipeline and Related Structures Construction,714570
"USA MILLWORK, LLC",10000000,1,OH,Custom Architectural Woodwork and Millwork Manufacturing,599993
V GLOBAL HOLDINGS LLC,10000000,1,IN,All Other Basic Organic Chemical Manufacturing,307904
"VELODYNE LIDAR, INC.",10000000,1,CA,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",32320
VENABLE'S WELDING & ROUSTABOUT,10000000,1,TX,"Other Foundation, Structure, and Building Exterior Contractors",714545
"VENTURE TRANSPORT, LLC",10000000,1,IN,"Specialized Freight (except Used Goods) Trucking, Local",307910
"VOGEL PAINT, INC",10000000,1,IA,Paint and Coating Manufacturing,260457
VOLUNTEERS OF AMERICA,10000000,1,NY,Other Community Housing Services,536235
VON BRIESEN & ROPER S.C.,10000000,1,WI,Offices of Lawyers,834438
"V-SOFT CONSULTING GROUP, INC.",10000000,1,KY,Other Computer Related Services,330547
"W.A. RASIC CONSTRUCTION COMPANY, INC.",10000000,1,CA,Water and Sewer Line and Related Structures Construction,32296
"WAMPOLE-MILLER, INC.",10000000,1,PA,Electrical Contractors and Other Wiring Installation Contractors,648286
"WEBER METALS, INC.",10000000,1,CA,Nonferrous Forging,32332
WELLLIFE NETWORK INC.,10000000,1,NY,Residential Intellectual and Developmental Disability Facilities,536264
"WENDELTA, INC",10000000,1,TN,Limited-Service Restaurants,699944
"WENDY'S OF BOWLING GREEN, INC.",10000000,1,KY,Limited-Service Restaurants,330546
WHITE CASTLE SYSTEM INC,10000000,1,OH,Limited-Service Restaurants,599990
"WHITE STALLION ENERGY, LLC",10000000,1,IN,Support Activities for Oil and Gas Operations,307907
WHITSON'S FOOD SERVICE CORP,10000000,1,NY,Food Service Contractors,536188
WINGMEN V LLC,10000000,1,WA,Full-Service Restaurants,815160
"WITHUMSMITH + BROWN, P.C.",10000000,1,NJ,Offices of Certified Public Accountants,497297
"WOODFIN HEATING, INC.",10000000,1,VA,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),791612
"WUNDERLICH-MALEC ENGINEERING, INC",10000000,1,MN,Engineering Services,422924
"XANITOS, INC.",10000000,1,PA,Janitorial Services,648285
YELED V'YALDA EARLY CHILDHOOD CENTER INC.,10000000,1,NY,Child and Youth Services,536237
YMCA OF SAN DIEGO COUNTY,10000000,1,CA,Civic and Social Organizations,32282
YORKTOWN SYSTEMS GROUP INC,10000000,1,AL,Engineering Services,2399
YOUNG ADULT INSTITUTE INC.,10000000,1,NY,Residential Intellectual and Developmental Disability Facilities,536202
YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,10000000,1,IL,Civic and Social Organizations,271832
YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,10000000,1,NY,Civic and Social Organizations,536196
YOUNG MEN'S CHRISTIAN ASSOCIATION OF SAN FRANCISCO,10000000,1,CA,Civic and Social Organizations,32297
YOUNG MEN'S CHRISTIAN ASSOCIATION OF THE GREATER HOUSTON ARE,10000000,1,TX,Civic and Social Organizations,714582
YOUNG MENS CHRISTIAN ASSOCIATION OF THE NORTH,10000000,1,MN,Civic and Social Organizations,422936
"ZEECO, INC",10000000,1,OK,Oil and Gas Field Machinery and Equipment Manufacturing,627885
ZENITH SYSTEMS LLC,10000000,1,OH,Electrical Contractors and Other Wiring Installation Contractors,600010
"ZIHUATANEJO HOLDINGS, LLC",10000000,1,IL,Nursing Care Facilities (Skilled Nursing Facilities),271830
"ZOE%27S KITCHEN, INC.",10000000,1,TX,Limited-Service Restaurants,714587
ZUME INC.,10551780,2,CA,All Other Converted Paper Product Manufacturing,32382
"ZWANGER & PESIRI RADIOLOGY GROUP, LLP",10000000,1,NY,Diagnostic Imaging Centers,536259
